distance,elevation,dhdt,error,v,smb
58500,44.0646345,-0.109082792,0.826768409,485.6586303,463.3274417
58650,43.8709245,-0.137451985,0.711921776,486.3108588,463.1190796
58800,43.84485658,-0.107275982,0.9440931,487.2337042,463.1082967
58950,43.9496778,-0.036173138,1.069998927,487.2337042,462.1433587
59100,44.17363557,0.044108205,0.892536054,487.2337042,461.5438483
59250,44.45649696,0.099274888,0.545685579,488.2503845,461.237131
59400,44.71648178,0.115620385,0.364927542,488.3377447,460.5451277
59550,44.81771404,0.090789464,0.655130744,489.1101218,460.5112305
59700,44.71027767,0.031706999,0.915337988,490.0075239,460.4543151
59850,44.51165343,-0.03336338,0.917577685,490.0075239,459.5587463
60000,44.33763591,-0.078770694,0.677365377,490.0075239,459.5326908
60150,44.31285988,-0.083570672,0.579920404,490.0656159,458.8491264
60300,44.47510759,-0.043611155,0.719785384,490.8858945,458.5402545
60450,44.67355077,0.009719783,0.699714946,490.8858945,457.9684143
60600,44.74592072,0.045191706,0.475849442,490.8858945,457.9401191
60750,44.68722171,0.054699091,0.33,490.922736,456.9434104
60900,44.55464904,0.041485394,0.329931423,491.8356224,456.4028625
61050,44.42494801,0.021156101,0.296401394,491.8566028,456.3965284
61200,44.3266182,-0.00134615,0.274977016,493.286254,455.7577222
61350,44.27105219,-0.019240943,0.274685517,493.6946212,455.4907532
61500,44.22546242,-0.031021161,0.236068358,493.6946212,455.0202339
61650,44.22275688,-0.032,0.23,493.6946212,454.690065
61800,44.25684238,-0.024630348,0.26001707,494.1597578,454.17546
61950,44.33263316,-0.002372432,0.28,495.4396529,453.965271
62100,44.37516343,0.018501084,0.254962119,495.7309374,453.4099646
62250,44.39825378,0.035728913,0.252080725,496.2070055,453.078125
62400,44.44638506,0.050778463,0.298306164,496.5541375,452.5647774
62550,44.54788575,0.062308802,0.33719512,496.5541375,452.2005005
