distance,surface,bed
31650,1582.400314,717.651669
31700,1581.520274,714.7845868
31750,1580.650075,711.9528206
31800,1579.800488,709.1620303
31850,1578.95805,706.3758452
31900,1578.08524,703.5863686
31950,1577.19384,700.8211397
32000,1576.271587,698.0678228
32050,1575.318153,695.3266004
32100,1574.335687,692.6667119
32150,1573.323049,690.0716428
32200,1572.36262,687.5671674
32250,1571.508099,685.1692753
32300,1570.753921,682.8377006
32350,1570.054655,680.59094
32400,1569.34618,678.3668999
32450,1568.662786,676.1808085
32500,1568.010791,674.0234499
32550,1567.387932,671.8888515
32600,1566.762459,669.7679212
32650,1566.139959,667.6901366
32700,1565.524329,665.6513641
32750,1564.923045,663.6764501
32800,1564.32071,661.7116665
32850,1563.712051,659.7550717
32900,1563.095274,657.7912226
32950,1562.475438,655.8062349
33000,1561.855398,653.8302759
33050,1561.239078,651.8641573
33100,1560.624758,649.9273416
33150,1559.97734,647.9783523
33200,1559.254384,645.9843923
33250,1558.469683,643.9511829
33300,1557.640274,641.8726951
33350,1556.819864,639.9109729
33400,1555.965215,638.0320155
33450,1555.073064,636.2421623
33500,1554.133575,634.5491164
33550,1553.183632,633.01316
33600,1552.225828,631.6439821
33650,1551.258482,630.4492502
33700,1550.265084,629.3849032
33750,1549.254104,628.5155989
33800,1548.24342,627.8095245
33850,1547.23352,627.2146858
33900,1546.20988,626.8100185
33950,1545.176661,626.4864238
34000,1544.137912,626.1282444
34050,1543.111634,625.7322098
34100,1542.075252,625.2854576
34150,1541.011058,624.7730086
34200,1539.921974,624.1880739
34250,1538.825376,623.5115593
34300,1537.741122,622.7606827
34350,1536.618904,621.934669
34400,1535.450861,620.9967563
34450,1534.240735,619.9460136
34500,1533.030279,618.8144244
34550,1531.785108,617.5577586
34600,1530.504321,616.1558903
34650,1529.205123,614.6373418
34700,1527.919637,612.9843275
34750,1526.670092,611.1716734
34800,1525.449848,609.2443997
34850,1524.261243,607.2747167
34900,1523.095616,605.2664646
34950,1521.960452,603.2586093
35000,1520.86045,601.2270498
35050,1519.799605,599.1813434
35100,1518.770499,597.063676
35150,1517.751419,594.863081
35200,1516.694431,592.5691922
35250,1515.582299,590.1966936
35300,1514.422075,587.7825294
35350,1513.223534,585.2927106
35400,1512.044937,582.8140551
35450,1510.841227,580.3314847
35500,1509.652785,577.8785875
35550,1508.482996,575.4499261
35600,1507.333894,573.0290713
35650,1506.191016,570.6391763
35700,1505.048472,568.2644184
35750,1503.91074,565.8872496
35800,1502.788039,563.5042622
35850,1501.675613,561.0796594
35900,1500.549593,558.5464233
35950,1500.315942,558.0129214
36000,1500.283979,557.937524
36050,1500.252016,557.8621267
36100,1500.220053,557.7867293
36150,1500.188091,557.7113319
36200,1500.156128,557.6359345
36250,1500.124165,557.5605372
36300,1500.092202,557.4851398
36350,1500.06024,557.4097424
36400,1500.028277,557.334345
36450,1499.996314,557.2589477
36500,1499.964351,557.1835503
36550,1499.932388,557.1081529
36600,1499.900426,557.0327555
36650,1499.868463,556.9573581
36700,1499.8365,556.8819608
36750,1499.804537,556.8065634
36800,1499.772574,556.731166
36850,1499.740612,556.6557686
36900,1499.708649,556.5803713
36950,1499.242255,555.4400524
37000,1498.226011,552.8715994
37050,1497.258597,550.3054493
37100,1496.29118,547.7237151
37150,1495.38023,545.1688242
37200,1494.562404,542.657044
37250,1493.849643,540.2055898
37300,1493.179086,537.793541
37350,1492.492582,535.36443
37400,1491.844388,532.9348089
37450,1491.241041,530.4619351
37500,1490.68021,527.8852025
37550,1490.109567,525.2281725
37600,1489.525761,522.4502001
37650,1488.958939,519.4656657
37700,1488.414976,516.3329103
37750,1487.88028,513.0564109
37800,1487.314588,509.5377919
37850,1486.750182,505.8485212
37900,1486.196386,502.0288911
37950,1485.651751,498.0906877
38000,1485.091214,493.9642754
38050,1484.49122,489.6538227
38100,1483.887285,485.1885793
38150,1483.285806,480.5494329
38200,1482.68155,475.7575744
38250,1482.052593,470.8735519
38300,1481.419945,465.8824898
38350,1480.863982,460.8570929
38400,1480.385706,455.8735792
38450,1479.966649,450.8980585
38500,1479.51588,445.9490597
38550,1479.048826,441.0527272
38600,1478.583441,436.230086
38650,1478.118074,431.473713
38700,1477.633203,426.8076063
38750,1477.090632,422.2517598
38800,1476.457076,417.7522449
38850,1475.734212,413.3168362
38900,1474.919928,408.9492989
38950,1474.065901,404.7121927
39000,1473.160085,400.5773294
39050,1472.173594,396.5770524
39100,1471.114832,392.6816296
39150,1469.995655,388.8540732
39200,1468.850739,385.1220671
39250,1467.738183,381.5106804
39300,1466.681488,378.0320614
39350,1465.688912,374.6883046
39400,1464.721281,371.4149034
39450,1463.730025,368.1543567
39500,1462.672633,364.8880113
39550,1461.564151,361.6867189
39600,1460.409332,358.4929491
39650,1459.241697,355.2944501
39700,1458.083701,352.1057272
39750,1456.948981,348.906298
39800,1455.847238,345.7838674
39850,1454.782369,342.7997613
39900,1453.708772,339.9165942
39950,1452.554921,337.1109992
40000,1451.300114,334.3342146
40050,1449.957842,331.5928315
40100,1448.583276,328.9080323
40150,1447.190568,326.2900394
40200,1445.75701,323.7224295
40250,1444.290519,321.2203306
40300,1442.798501,318.7758204
40350,1441.320169,316.4450047
40400,1439.847745,314.2657895
40450,1438.342098,312.2493005
40500,1436.820235,310.4689703
40550,1435.282149,308.9073999
40600,1433.762592,307.6852557
40650,1432.233444,306.8482352
40700,1430.684932,306.4536181
40750,1429.102792,306.4367763
40800,1427.534437,306.746312
40850,1425.966336,307.2212323
40900,1424.373686,307.6548745
40950,1422.764982,308.0338929
41000,1421.129343,308.451607
41050,1419.510025,308.9366153
41100,1417.912703,309.4811
41150,1416.333836,310.0925515
41200,1414.768713,310.7396755
41250,1413.211229,311.4331159
41300,1411.652452,312.1881824
41350,1409.987983,312.9199098
41400,1408.185642,313.592105
41450,1406.249937,314.2121802
41500,1404.246792,314.7607165
41550,1402.234138,315.2364689
41600,1400.283167,315.6557102
41650,1398.416384,316.0240358
41700,1396.643453,316.3187755
41750,1394.95075,316.5184523
41800,1393.312768,316.629294
41850,1391.766416,316.6900643
41900,1390.302737,316.6994182
41950,1388.884529,316.6202511
42000,1387.495023,316.4241852
42050,1386.17714,316.1026758
42100,1384.929306,315.6897752
42150,1383.746762,315.1997394
